Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main System Controller","Xilinx XCZU7EV-2FLGA1156E Zynq UltraScale+ MPSoC","","electrical","mcu",1,1500.00,1500.00,"https://www.digikey.com/en/products/result?keywords=XCZU7EV-2FLGA1156E"
"Safety Watchdog MCU","STMicroelectronics STM32F042K6T6","","electrical","mcu",1,2.00,2.00,"https://www.digikey.com/en/products/result?keywords=STM32F042K6T6"
"High-Speed DDS DAC","Analog Devices AD9162BBPZ","","electrical","module",1,400.00,400.00,"https://www.digikey.com/en/products/result?keywords=AD9162BBPZ"
"RF Variable Attenuator","Mini-Circuits ZX73-2500-S+","","electrical","module",1,150.00,150.00,"https://www.digikey.com/en/products/result?keywords=ZX73-2500-S%2B"
"RF Amplifier (Low Band Optimized)","E&I 1040L (or equivalent)","","electrical","module",1,10000.00,10000.00,"https://www.digikey.com/en/products/result?keywords=RF+Power+Amplifier+50W+1040L"
"RF Amplifier (High Band Optimized)","E&I 1040L (or equivalent)","","electrical","module",1,10000.00,10000.00,"https://www.digikey.com/en/products/result?keywords=RF+Power+Amplifier+50W+1040L"
"RF Relay Matrix (Amp A Input)","Custom 1x2 RF Relay","","electrical","module",1,50.00,50.00,"https://www.digikey.com/en/products/result?keywords=RF+Relay+SPDT+SMA"
"RF Relay Matrix (Amp B Input)","Custom 1x2 RF Relay","","electrical","module",1,50.00,50.00,"https://www.digikey.com/en/products/result?keywords=RF+Relay+SPDT+SMA"
"RF Relay Matrix (Transducer Output)","Custom 2x8 RF Relay Matrix","","electrical","module",1,800.00,800.00,"https://www.digikey.com/en/products/result?keywords=RF+Switch+SP8T+SMA"
"Directional Coupler (Amp A)","Mini-Circuits ZFBDC20-900HP","","electrical","module",1,200.00,200.00,"https://www.digikey.com/en/products/result?keywords=ZFBDC20-900HP"
"Directional Coupler (Amp B)","Mini-Circuits ZFBDC20-900HP","","electrical","module",1,200.00,200.00,"https://www.digikey.com/en/products/result?keywords=ZFBDC20-900HP"
"Power Monitor ADC","Texas Instruments ADS131M04","","electrical","sensor",1,15.00,15.00,"https://www.digikey.com/en/products/result?keywords=ADS131M04"
"Matching Network (Transducer 1)","Custom Motorized L-Section","","electrical","module",1,200.00,200.00,"https://www.digikey.com/en/products/result?keywords=motorized+variable+capacitor"
"Matching Network (Transducer 2)","Custom Motorized L-Section","","electrical","module",1,200.00,200.00,"https://www.digikey.com/en/products/result?keywords=motorized+variable+capacitor"
"Matching Network (Transducer 3)","Custom Motorized L-Section","","electrical","module",1,200.00,200.00,"https://www.digikey.com/en/products/result?keywords=motorized+variable+capacitor"
"Matching Network (Transducer 4)","Custom Motorized L-Section","","electrical","module",1,200.00,200.00,"https://www.digikey.com/en/products/result?keywords=motorized+variable+capacitor"
"Matching Network (Transducer 5)","Custom Motorized L-Section","","electrical","module",1,200.00,200.00,"https://www.digikey.com/en/products/result?keywords=motorized+variable+capacitor"
"Matching Network (Transducer 6)","Custom Motorized L-Section","","electrical","module",1,200.00,200.00,"https://www.digikey.com/en/products/result?keywords=motorized+variable+capacitor"
"Matching Network (Transducer 7)","Custom Motorized L-Section","","electrical","module",1,200.00,200.00,"https://www.digikey.com/en/products/result?keywords=motorized+variable+capacitor"
"Matching Network (Transducer 8)","Custom Motorized L-Section","","electrical","module",1,200.00,200.00,"https://www.digikey.com/en/products/result?keywords=motorized+variable+capacitor"
"Transducer T-450 (450 kHz)","Custom PZT-4 Spherical Cap Transducer","","electrical","actuator",1,1500.00,1500.00,"https://www.digikey.com/en/products/result?keywords=PZT+ultrasonic+transducer+450kHz"
"Transducer T-709 (709 kHz)","Custom PZT-4 Spherical Cap Transducer","","electrical","actuator",1,1500.00,1500.00,"https://www.digikey.com/en/products/result?keywords=PZT+ultrasonic+transducer+709kHz"
"Transducer T-788 (788 kHz)","Custom PZT-4 Spherical Cap Transducer","","electrical","actuator",1,1500.00,1500.00,"https://www.digikey.com/en/products/result?keywords=PZT+ultrasonic+transducer+788kHz"
"Transducer T-886 (886 kHz)","Custom PZT-8 Spherical Cap Transducer","","electrical","actuator",1,1500.00,1500.00,"https://www.digikey.com/en/products/result?keywords=PZT+ultrasonic+transducer+886kHz"
"Transducer T-1013 (1013 kHz)","Custom PZT-8 Spherical Cap Transducer","","electrical","actuator",1,1500.00,1500.00,"https://www.digikey.com/en/products/result?keywords=PZT+ultrasonic+transducer+1013kHz"
"Transducer T-1182 (1182 kHz)","Custom PZT-8 Spherical Cap Transducer","","electrical","actuator",1,1500.00,1500.00,"https://www.digikey.com/en/products/result?keywords=PZT+ultrasonic+transducer+1182kHz"
"Transducer T-1773 (1773 kHz)","Custom PZT-8 Spherical Cap Transducer","","electrical","actuator",1,1500.00,1500.00,"https://www.digikey.com/en/products/result?keywords=PZT+ultrasonic+transducer+1773kHz"
"Transducer T-2000 (2000 kHz)","Custom PZT-8 Spherical Cap Transducer","","electrical","actuator",1,1500.00,1500.00,"https://www.digikey.com/en/products/result?keywords=PZT+ultrasonic+transducer+2000kHz"
